id,amount_tsh,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,status_group
55712,0,,0,,33.85119878,-8.83091098,Kwa Mzee Nikolus,0,Rufiji,Kanisani,Mbeya,12,7,Mbarali,Igurusi,0,True,WUA,,True,0,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,others
10591,0,Md,0,DW,31.49768291,-1.71453589,Zahanati,0,Lake Victoria,Omurunazi,Kagera,18,3,Muleba,Rushwa,0,True,VWC,,True,0,ksb,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
22229,250,Oxfarm,1513,OXFARM,29.79958952,-4.5201779,Kwa Damasi,0,Lake Tanganyika,Mbweru,Kigoma,16,2,Kigoma Rural,Mkigo,510,True,Water authority,Mroroma,True,2001,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
24878,0,Bsf,0,DWE,35.7731774,-5.062066,Musui,0,Internal,Musui,Dodoma,1,1,Kondoa,Kingale,0,True,VWC,King,False,0,cemo,other motorpump,motorpump,vwc,user-group,pay per bucket,per bucket,salty,salty,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,others
63487,500,Holla,139,RWE,37.80443427,-7.37947565,Kwa Mzee Pogola,0,Wami / Ruvu,Chang'Ombe,Morogoro,5,2,Morogoro Rural,Bwakila Chini,350,True,VWC,,True,1986,swn 80,swn 80,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,others
27095,0,Fini Water,451,Fini Water,38.76642627,-10.26442546,Bombani Fini Water,0,Ruvuma / Southern Coast,Ccm A,Lindi,8,3,Nachingwea,Marambo,100,True,VWC,,False,1985,other,other,other,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,other,other,others
17800,0,Government Of Tanzania,0,Government,33.28755073,-8.70612259,Isambi Mwasimba,0,Lake Rukwa,Sawa,Mbeya,12,1,Chunya,Ifumbo,0,True,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
14897,0,Ics,0,ICS,34.24777955,-3.20728358,Igobe Primary Tank,0,Internal,Shuleni,Shinyanga,17,6,Meatu,Mwandoya,0,True,Parastatal,None,True,0,gravity,gravity,gravity,parastatal,parastatal,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional needs repair
25369,0,,0,,33.6875556,-9.21066106,Kwa Amos Mwakabuba,0,Lake Nyasa,Masa Juu,Mbeya,12,4,Rungwe,Suma,0,True,VWC,D,,0,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
20358,0,Water Aid /sema,0,Water Aid /sema,32.31728418,-4.46138171,Zahanati,0,Lake Tanganyika,Sasu A,Tabora,14,4,Urambo,Kashishi,0,True,VWC,,True,0,afridev,afridev,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,others
48633,1000,Tasaf,1001,TASAF,37.81697303,-4.15057604,Kwa Kisaka,0,Pangani,Nasuro B,Kilimanjaro,3,3,Same,Mwembe,250,True,Water authority,,True,2007,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair
34387,0,Ga,1375,Ga,36.86351431,-6.25705106,Kanisani,0,Wami / Ruvu,Jumbadimwekichangani,Morogoro,5,1,Kilosa,Rubeho,250,True,VWC,Ru,True,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
29930,500,Tcrs,1090,TCRS,34.13303874,-4.64426974,Masimba A,0,Internal,Masimba A,Singida,13,1,Iramba,Urughu,495,True,VWC,,True,1994,afridev,afridev,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,others
65054,0,Lamp,1388,DWE,35.6427984,-4.28714632,Mkwajuni,0,Internal,Gideshani,Manyara,21,1,Babati,Riroda,312,True,VWC,,True,1996,swn 80,swn 80,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,others
48498,0,Undp/ilo,1780,DWE,31.66515775,-8.50625653,Jacob Mwenga,0,Lake Tanganyika,Kalambalile,Rukwa,15,2,Sumbawanga Rural,Mwazye,50,True,VWC,Kalesha water supply,True,1990,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
31073,0,Dwsp,0,DWE,0,-2E-08,Wataalamu,0,Lake Victoria,Mitindu,Shinyanga,17,1,Bariadi,Kasoli,0,False,WUG,,False,0,other,other,other,wug,user-group,never pay,never pay,soft,good,enough,enough,other,other,unknown,other,other,others
20732,200,Dhv,559,DWE,36.63514715,-8.6269365,Kwarimota,0,Rufiji,Chipweka,Morogoro,5,4,Ulanga,Msogezi,1,True,,,True,1998,nira/tanira,nira/tanira,handpump,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
45646,0,Government Of Tanzania,1419,DWE,37.51092705,-3.28704914,Kwa Joseph Limo,0,Pangani,Lyamrakana,Kilimanjaro,3,4,Moshi Rural,Marangu Mashariki,1,False,VWC,Marangu baraza,True,1972,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,others
61381,0,World Bank,0,world,36.62956516,-6.45233214,Mbori Primary School,0,Wami / Ruvu,Kaloleni B,Dodoma,1,0,Mpwapwa,Matomondo,0,True,VWC,,True,0,gravity,gravity,gravity,other,other,never pay,never pay,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional needs repair
17068,0,Wvt,0,WVT,0,-2E-08,Kisesa,0,Lake Victoria,Mwakirunguje,Shinyanga,17,1,Bariadi,Lagangabilili,0,True,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,pay when scheme fails,on failure,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
73348,0,Government Of Tanzania,1074,RWE,37.5768594,-7.0545763,Kwa William,0,Wami / Ruvu,Lolo,Morogoro,5,6,Mvomero,Langali,1,True,VWC,Mzinga r,True,1974,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
1055,0,Private,1301,Private,35.02922714,-11.12528717,Shuleni,0,Ruvuma / Southern Coast,Utiri,Ruvuma,10,3,Mbinga,Mbangamao,298,,WUG,Government,True,2008,gravity,gravity,gravity,parastatal,parastatal,unknown,unknown,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
66922,0,Ministry Of Water,1092,Idara ya maji,34.96040467,-5.85074822,Senta,0,Internal,Mabondeni,Singida,13,3,Manyoni,Kilimatinde,1,True,VWC,Kilimatinde water supply,False,1974,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,others
23924,0,Government Of Tanzania,0,DISTRICT COUNCIL,33.37157118,-9.23337286,Mwambondo,0,Lake Nyasa,Shilanga Ofisini,Mbeya,12,2,Mbeya Rural,Ilembo,0,False,VWC,,False,0,gravity,gravity,gravity,wug,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,other,other,others
70272,0,Oxfam,0,OXFAM,30.82876173,-2.40657898,Kaburanzwili Kanisani,0,Lake Victoria,Kianama,Kagera,18,30,Ngara,Rusumo,0,True,VWC,Kamatendeli no 2  spring source,False,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
69698,0,Dwsp,0,DWE,0,-2E-08,Shule Ya Msingi Kashishi,0,Lake Victoria,Madukani,Shinyanga,17,1,Bariadi,Zagayu,0,True,Parastatal,,False,0,nira/tanira,nira/tanira,handpump,parastatal,parastatal,other,other,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
62393,0.25,Ces(gmbh),685,DWE,37.35750907,-3.58622983,Kwa Samweli Kigogo,0,Pangani,Kirungu,Kilimanjaro,3,4,Moshi Rural,Arusha Chini,1,,Water Board,Kirua kahe pumping water trust,True,2008,submersible,submersible,submersible,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,others
15762,0,World Bank,0,Gover,36.56109186,-6.68985849,Hospitali,0,Wami / Ruvu,Shuleni,Dodoma,1,1,Mpwapwa,Lumuma,0,True,VWC,Pwag,True,0,gravity,gravity,gravity,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
51669,0,Mkinga Distric Coun,0,DWE,39.15450608,-4.77000575,Zingibali Secondary,0,Pangani,Zingibali Secondary,Tanga,4,8,Mkinga,Moa,20,True,VWC,Zingibali,True,2009,submersible,submersible,submersible,vwc,user-group,never pay,never pay,salty,salty,insufficient,insufficient,other,other,unknown,communal standpipe,communal standpipe,others
54329,300,Roman Cathoric-same,852,District Council,37.68762419,-3.81275802,Kwa Mzee Jenesi,0,Pangani,Kivelenge,Kilimanjaro,3,2,Mwanga,Kwakoa,40,True,VWC,Ngulu water Supply,False,1992,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
8124,200,Msf/tacare,1109,MSF/TACARE,29.68612697,-4.69642785,Tulashashe,0,Lake Tanganyika,Mbalizi,Kigoma,16,3,Kigoma Rural,Mwamgongo,100,True,WUG,Chankele/Bubango water project,True,2006,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,functional needs repair
62740,0,Government Of Tanzania,0,Centr,35.80365356,-4.60331047,Kwa Said,0,Internal,Masange,Dodoma,1,1,Kondoa,Masange,0,True,VWC,Masa,False,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
64083,0,Government Of Tanzania,959,Government,35.14933659,-10.68606518,Kwa Mzee Ngongolo,0,Ruvuma / Southern Coast,Mbugani,Ruvuma,10,3,Mbinga,Kigonsera,60,,VWC,Government,True,1977,gravity,gravity,gravity,unknown,unknown,unknown,unknown,soft,good,seasonal,seasonal,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
47642,0,Dwsp,0,DWE,0,-2E-08,Kitula,0,Lake Victoria,Galahina,Shinyanga,17,1,Bariadi,Somanda,0,True,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,salty abandoned,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
72583,50,Kibaha Town Council,86,DAWASCO,38.95464721,-6.75433891,Zacharia,0,Wami / Ruvu,Lulanzi,Pwani,6,2,Kibaha,Tumbi,1,True,Water authority,River,True,2010,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,others
25665,0,Rwssp,0,RWSP,32.895487,-3.30138235,Kwa Somi,0,Lake Victoria,Itirima,Shinyanga,17,3,Shinyanga Rural,Salawe,0,True,WUG,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,never pay,never pay,soft,good,dry,dry,shallow well,shallow well,groundwater,hand pump,hand pump,others
63089,300,Msf,1072,MSF,29.66157439,-4.72220949,Jikwamue,0,Lake Tanganyika,Mwigagi,Kigoma,16,3,Kigoma Rural,Mwamgongo,195,True,WUG,Mwongolele water project,True,2003,gravity,gravity,gravity,wug,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair
24433,0,Sabemo,1795,Chamavita,38.32842332,-4.7385926,Kwa Mzee Kigalinga,6,Pangani,Kwaboli,Tanga,4,1,Lushoto,Kwai,1,True,VWC,Mangamba forest,True,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
70717,0,Government Of Tanzania,1298,DWE,37.54037888,-3.29621617,Kwa Frank Godfrey,0,Pangani,Mseroe,Kilimanjaro,3,4,Moshi Rural,Mamba Kusini,50,True,VWC,Una mkolowoni,True,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
43827,0,Water,0,DWE,35.7398375,-4.56432442,Alagwa,0,Internal,Alagwa,Dodoma,1,1,Kondoa,Bereko,0,True,VWC,Masa,False,0,cemo,other motorpump,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair
70280,0,,0,,34.0817286,-8.78953627,Kwa Senjebolo,0,Rufiji,Majengo,Mbeya,12,7,Mbarali,Chimala,0,True,VWC,,True,0,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
52805,0,Hesawa,0,DWE,31.74600678,-1.4912554,Kwa Kanywere,0,Lake Victoria,Nyakibanga,Kagera,18,2,Bukoba Rural,Katerero,0,True,VWC,WAUSA,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
9165,5,Ces (gmbh),1053,DWE,37.25361232,-3.28448397,Kwa Regina Joachim,0,Pangani,Sereni,Kilimanjaro,3,4,Moshi Rural,Kibosho Magharibi,125,True,Water Board,Lyamungo umbwe water supply,True,2007,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,others
44207,5,Germany Republi,1276,CES,37.23756453,-3.24020086,Kwa Origenes Mnura,0,Pangani,Ushara,Kilimanjaro,3,5,Hai,Machame Mashariki,80,True,Water Board,Lyamungo-Umbwe water supply,True,2006,gravity,gravity,gravity,water board,user-group,pay per bucket,per bucket,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
2075,0,Peter Tesha,1230,DWE,37.36007237,-3.26686764,Kwa Lini Sebastian,0,Pangani,Sia,Kilimanjaro,3,4,Moshi Rural,Uru Shimbwe,55,True,VWC,Uru shimbwe,True,2000,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
18846,0,Roman,2049,DWE,34.71472662,-9.72994601,none,0,Lake Nyasa,Lubindi,Iringa,11,5,Ludewa,Madilu,79,True,VWC,Roman,False,2000,gravity,gravity,gravity,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
40634,0,Kkkt,0,KKKT,32.76113845,-8.984521,Rangimbili Sikanyika,0,Lake Rukwa,Malolo Chini,Mbeya,12,6,Mbozi,Msia,0,True,VWC,,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,others
17535,0,World Vision,0,World vision,34.06172513,-3.41007097,Mwanindo Primary School,0,Internal,Mwanindo,Shinyanga,17,2,Maswa,Dakama,0,True,WUG,,False,0,gravity,gravity,gravity,wug,user-group,other,other,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional needs repair
17747,0,Government Of Tanzania,1750,Government,37.56331501,-3.24981319,Kwa Kara,0,Pangani,Komola,Kilimanjaro,3,4,Rombo,Keni Mengeni,1,True,WUA,Marera-Lole pipeline,True,1970,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair
742,200,Dhv,293,DWE,36.89237101,-7.85313356,Majiniuhai,0,Rufiji,Posta,Morogoro,5,3,Kilombero,Mang'ula,280,True,WUA,Mwaya Mn,True,1998,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
38899,0,Community,1584,Community,35.51046071,-4.23225169,Farm Africa,0,Internal,Bermi A,Manyara,21,1,Babati,Dareda,245,True,VWC,,True,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
46332,2000,Oxfam,1436,DWE,36.69054976,-3.35434536,Lobora,0,Pangani,Lobora,Arusha,2,2,Arusha Rural,Moivo,200,True,VWC,Nabaiye pipe line,True,1999,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair
33999,0,Government Of Tanzania,1595,DWE,37.44023528,-3.29415489,Kwa Tondi,0,Pangani,Maliaseli,Kilimanjaro,3,4,Moshi Rural,Kimochi,40,True,VWC,Komaka mandaka,True,1974,gravity,gravity,gravity,vwc,user-group,unknown,unknown,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
533,0,Rural Water Supply And Sanitat,0,DWE,31.56099649,-3.41376647,Bakamba Water Group,0,Lake Tanganyika,Bulumbaga B,Shinyanga,17,5,Bukombe,Runzewe,0,,WUG,,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
7147,0,,0,,34.37495206,-8.70521505,Kwa Mzee Danda,0,Rufiji,Tankini A,Mbeya,12,7,Mbarali,Rujewa,0,False,Water Board,,True,0,gravity,gravity,gravity,water board,user-group,never pay,never pay,coloured,colored,seasonal,seasonal,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
72577,0,Government Of Tanzania,1567,DWE,36.65956476,-3.31281185,Wataalam,0,Pangani,Wataalam,Arusha,2,2,Arusha Rural,Kimnyaki,300,True,VWC,TPRI pipe line,True,1990,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
54267,0,Wvt,0,WVT,0,-2E-08,Mstuni,0,Lake Victoria,Mwamalili,Shinyanga,17,1,Bariadi,Chinamili,0,True,WUG,,False,0,nira/tanira,nira/tanira,handpump,wug,user-group,other,other,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
3804,0,Government Of Tanzania,0,Government,33.1585761,-8.41297844,Mzee Katoto,0,Lake Rukwa,Machinjioni,Mbeya,12,1,Chunya,Makongorosi,0,True,VWC,,True,0,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,functional needs repair
49260,0,Tasaf,1681,DWE,36.73948643,-3.32654462,Kwa Malingwa,0,Pangani,Engikaleti,Arusha,2,2,Arusha Rural,Bangata,200,True,VWC,Bangata water project,True,2007,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,others
10230,0,Water,0,MWE &,35.67651949,-6.20749316,Shule Ya Msingi Michese,0,Internal,Ukombozi,Dodoma,1,5,Dodoma Urban,Mkonze,0,True,VWC,Mich,False,0,mono,mono,motorpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,functional needs repair
21652,500,Unicef/central,1725,DWE,34.70229514,-9.10808285,Kwa Sijalimtu Mwang'Ande,0,Rufiji,Ngelele,Iringa,11,4,Njombe,Mdandu,45,True,WUA,wanging'ombe water supply s,True,1974,gravity,gravity,gravity,wua,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
62849,3000,Rocci Ross,1449,AUSTRALIA,34.57023034,-4.56993252,Majimalulu,0,Internal,Majimalulu,Singida,13,1,Iramba,Iguguno,275,True,VWC,,True,2004,afridev,afridev,handpump,vwc,user-group,pay annually,annually,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,others
17263,500,District Council,2153,DWE,34.65598562,-9.66466719,none,0,Lake Nyasa,Njia Panda,Iringa,11,5,Ludewa,Madope,48,True,VWC,Distri,False,2003,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,functional needs repair
60812,0,Danida,447,DANIDA,34.80423734,-11.28545242,Msikitini,0,Lake Nyasa,Mtimbe,Ruvuma,10,3,Mbinga,Mbamba bay,40,True,VWC,DANIDA,True,2008,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,dry,dry,spring,spring,groundwater,communal standpipe,communal standpipe,others
30651,0,Water,0,Gover,36.49118487,-7.10931532,Airport,0,Rufiji,Airport,Dodoma,1,1,Mpwapwa,Ipera,0,True,VWC,Kinu,True,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe multiple,communal standpipe,functional needs repair
10471,0,,0,,34.31647204,-8.67266556,Kwa Poland,0,Rufiji,Ujamaa,Mbeya,12,7,Mbarali,Ubaruku,0,True,VWC,,True,0,submersible,submersible,submersible,vwc,user-group,never pay,never pay,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe,communal standpipe,others
65323,0,Dwsp,0,DWE,0,-2E-08,Ujamaa,0,Lake Victoria,Nyamakomelo,Shinyanga,17,1,Bariadi,Nyakabindi,0,False,WUG,,False,0,swn 80,swn 80,handpump,wug,user-group,never pay,never pay,salty,salty,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,functional needs repair
37262,0,World Vision,0,World vision,33.78809557,-3.3307763,Masanwa Dispensary,0,Internal,Masanwa,Shinyanga,17,2,Maswa,Busilili,0,True,WUG,,False,0,gravity,gravity,gravity,wug,user-group,other,other,soft,good,seasonal,seasonal,rainwater harvesting,rainwater harvesting,surface,communal standpipe,communal standpipe,functional needs repair
5442,500,Norad,1014,RWE,29.73521068,-4.72675756,Kwa Yohana,0,Lake Tanganyika,Nyamhoza Hill,Kigoma,16,3,Kigoma Rural,Bitale,123,True,VWC,Mkongoro One,True,1982,gravity,gravity,gravity,vwc,user-group,pay monthly,monthly,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,functional needs repair
47607,0,Aar,0,AAR,30.4899488,-2.88888006,Mchamazi,0,Lake Victoria,Murulama Ya Kati,Kagera,18,30,Ngara,Bukiriro,0,True,VWC,,False,0,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,other,other,functional needs repair
61723,0,0,-15,0,39.36664355,-6.90165096,Kwa Mchapawali,0,Wami / Ruvu,Kigogo,Dar es Salaam,7,3,Temeke,Kisarawe II,140,True,SWC,,False,2000,afridev,afridev,handpump,other - school,other,never pay,never pay,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,functional needs repair
